Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1369,Thinking About You (feat. Ayah Marar),Calvin Harris,1KtD0xaLAikgIt5tPbteZQ,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,audio_features,1KtD0xaLAikgIt5tPbteZQ,spotify:track:1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/tracks/1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/audio-analysis/1KtD0xaLAikgIt5tPbteZQ,247933,4
1370,Holy Grail,JAY-Z,37jTPJgwCCmIGMPB45jrPV,0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,audio_features,37jTPJgwCCmIGMPB45jrPV,spotify:track:37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/tracks/37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/audio-analysis/37jTPJgwCCmIGMPB45jrPV,338413,4
1371,Ready or Not,Bridgit Mendler,5xvUgoVED1F4mBu8FL0HaW,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,audio_features,5xvUgoVED1F4mBu8FL0HaW,spotify:track:5xvUgoVED1F4mBu8FL0HaW,https://api.spotify.com/v1/tracks/5xvUgoVED1F4mBu8FL0HaW,https://api.spotify.com/v1/audio-analysis/5xvUgoVED1F4mBu8FL0HaW,200947,4
1373,Pompeii,Bastille,3gbBpTdY8lnQwqxNCcf795,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,3gbBpTdY8lnQwqxNCcf795,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148,4
1374,Best Song Ever,One Direction,5T7ZFtCcOgkpjxcuaeZbw0,0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4
1375,Hey Porsche,Nelly,6QoxM9xgqazNPGF026CjpS,0.729,0.793,9,-4.716,1,0.0293,0.151,0.0,0.651,0.945,115.988,audio_features,6QoxM9xgqazNPGF026CjpS,spotify:track:6QoxM9xgqazNPGF026CjpS,https://api.spotify.com/v1/tracks/6QoxM9xgqazNPGF026CjpS,https://api.spotify.com/v1/audio-analysis/6QoxM9xgqazNPGF026CjpS,209147,4
1376,Clarity,Zedd,60wwxj6Dd9NJlirf84wr2c,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,audio_features,60wwxj6Dd9NJlirf84wr2c,spotify:track:60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/audio-analysis/60wwxj6Dd9NJlirf84wr2c,271427,4
1377,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,audio_features,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE,221360,4
1379,Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,5CMjjywI0eZMixPeqNd75R,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,audio_features,5CMjjywI0eZMixPeqNd75R,spotify:track:5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/audio-analysis/5CMjjywI0eZMixPeqNd75R,353893,4
1380,This Is What It Feels Like,Armin van Buuren,5GjnIpUlLGEIYk052ISOw9,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,audio_features,5GjnIpUlLGEIYk052ISOw9,spotify:track:5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/audio-analysis/5GjnIpUlLGEIYk052ISOw9,204360,5
1381,Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,audio_features,4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,484147,4
