,Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,Oops!...I Did It Again,Britney Spears,6naxalmIoLFWR0siv8dnQQ,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,audio_features,6naxalmIoLFWR0siv8dnQQ,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4
1,1,All The Small Things,blink-182,2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4
2,3,It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,audio_features,0v1XpBHnsbkCn7iJ9Ucr1l,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
3,4,Bye Bye Bye,*NSYNC,62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
4,5,Thong Song,Sisqo,5Mmk2ii6laakqfeCT7OnVD,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,audio_features,5Mmk2ii6laakqfeCT7OnVD,spotify:track:5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733,4
5,6,The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,3yfqSUWxFvZELEM4PmlwIR,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
6,8,Say My Name,Destiny's Child,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333,4
7,9,Lady - Hear Me Tonight,Modjo,49X0LAl6faAusYq02PRAY6,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,audio_features,49X0LAl6faAusYq02PRAY6,spotify:track:49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/tracks/49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154,4
8,11,Move Your Body - Gabry Ponte Original Radio Edit,Eiffel 65,3cqZlRpC4lOnxUE7HE3N5k,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,audio_features,3cqZlRpC4lOnxUE7HE3N5k,spotify:track:3cqZlRpC4lOnxUE7HE3N5k,https://api.spotify.com/v1/tracks/3cqZlRpC4lOnxUE7HE3N5k,https://api.spotify.com/v1/audio-analysis/3cqZlRpC4lOnxUE7HE3N5k,268864,4
9,12,Freestyler,Bomfunk MC's,2xaFtNhCw5Q4hn1EKsrkLv,0.847,0.96,4,-5.183,0,0.105,0.0237,0.0253,0.0629,0.922,163.825,audio_features,2xaFtNhCw5Q4hn1EKsrkLv,spotify:track:2xaFtNhCw5Q4hn1EKsrkLv,https://api.spotify.com/v1/tracks/2xaFtNhCw5Q4hn1EKsrkLv,https://api.spotify.com/v1/audio-analysis/2xaFtNhCw5Q4hn1EKsrkLv,172733,4
10,14,Never Be The Same Again,Melanie C,79EAVfOpzgfHx3IE2BVFQv,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,audio_features,79EAVfOpzgfHx3IE2BVFQv,spotify:track:79EAVfOpzgfHx3IE2BVFQv,https://api.spotify.com/v1/tracks/79EAVfOpzgfHx3IE2BVFQv,https://api.spotify.com/v1/audio-analysis/79EAVfOpzgfHx3IE2BVFQv,294200,4
11,17,Better Off Alone,Alice Deejay,0pMUR7Uvp6vxlbG0qBFvgM,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,audio_features,0pMUR7Uvp6vxlbG0qBFvgM,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/audio-analysis/0pMUR7Uvp6vxlbG0qBFvgM,214883,4
12,19,The Next Episode,Dr. Dre,4LwU4Vp6od3Sb08CsP99GC,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,4LwU4Vp6od3Sb08CsP99GC,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
13,20,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
14,21,Sexbomb,Tom Jones,7GHKA8GIMcND6c5nN1sFnD,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,audio_features,7GHKA8GIMcND6c5nN1sFnD,spotify:track:7GHKA8GIMcND6c5nN1sFnD,https://api.spotify.com/v1/tracks/7GHKA8GIMcND6c5nN1sFnD,https://api.spotify.com/v1/audio-analysis/7GHKA8GIMcND6c5nN1sFnD,211893,4
15,22,It Feels So Good,Sonique,4Y8q64VnhD0vFYy9g2WFpi,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,audio_features,4Y8q64VnhD0vFYy9g2WFpi,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,https://api.spotify.com/v1/tracks/4Y8q64VnhD0vFYy9g2WFpi,https://api.spotify.com/v1/audio-analysis/4Y8q64VnhD0vFYy9g2WFpi,240867,4
16,25,Take A Look Around,Limp Bizkit,2avKuMN2QXkaG9vvHa2JLt,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,audio_features,2avKuMN2QXkaG9vvHa2JLt,spotify:track:2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/tracks/2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/audio-analysis/2avKuMN2QXkaG9vvHa2JLt,321040,4
