,title,artist
0,As It Was,Harry Styles
1,First Class,Jack Harlow
2,Wait For U,Future Featuring Drake & Tems
3,Late Night Talking,Harry Styles
4,About Damn Time,Lizzo
5,Heat Waves,Glass Animals
6,Big Energy,Latto
7,Music For A Sushi Restaurant,Harry Styles
8,Matilda,Harry Styles
9,Me Porto Bonito,Bad Bunny & Chencho Corleone
10,Enemy,Imagine Dragons X JID
11,Stay,The Kid LAROI & Justin Bieber
12,Daylight,Harry Styles
13,Little Freak,Harry Styles
14,Grapejuice,Harry Styles
15,Titi Me Pregunto,Bad Bunny
16,Moscow Mule,Bad Bunny
17,Ghost,Justin Bieber
18,Woman,Doja Cat
19,N95,Kendrick Lamar
20,Satellite,Harry Styles
21,Cinema,Harry Styles
22,Wasted On You,Morgan Wallen
23,Daydreaming,Harry Styles
24,Keep Driving,Harry Styles
25,You Proof,Morgan Wallen
26,Bad Habits,Ed Sheeran
27,Boyfriend,Dove Cameron
28,Love Of My Life,Harry Styles
29,Boyfriends,Harry Styles
30,Party,Bad Bunny & Rauw Alejandro
31,Despues de La Playa,Bad Bunny
32,Super Gremlin,Kodak Black
33,Thats What I Want,Lil Nas X
34,Numb Little Bug,Em Beihold
35,Shivers,Ed Sheeran
36,Bam Bam,Camila Cabello Featuring Ed Sheeran
37,Cold Heart (PNAU Remix),Elton John & Dua Lipa
38,Puffin On Zootiez,Future
39,Sweetest Pie,Megan Thee Stallion & Dua Lipa
40,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
41,Something In The Orange,Zach Bryan
42,Cooped Up,Post Malone Featuring Roddy Ricch
43,Trouble With A Heartbreak,Jason Aldean
44,Provenza,Karol G
45,'Til You Can't,Cody Johnson
46,MAMIII,Becky G X Karol G
47,Take My Name,Parmalee
48,Silent Hill,Kendrick Lamar & Kodak Black
49,Ojitos Lindos,Bad Bunny & Bomba Estereo
50,AA,Walker Hayes
51,Thousand Miles,The Kid LAROI
52,In A Minute,Lil Baby
53,To The Moon!,JNR CHOI & Sam Tompkins
54,Tarot,Bad Bunny & Jhay Cortez
55,Un Ratito,Bad Bunny
56,Damn Strait,Scotty McCreery
57,Get Into It (Yuh),Doja Cat
58,Hotel Lobby (Unc And Phew),Quavo & Takeoff
59,She's All I Wanna Be,Tate McRae
60,Rich Spirit,Kendrick Lamar
61,Thought You Should Know,Morgan Wallen
62,Efecto,Bad Bunny
63,2step,Ed Sheeran Featuring Lil Baby
64,Fall In Love,Bailey Zimmerman
65,Slow Down Summer,Thomas Rhett
66,When You're Gone,Shawn Mendes
67,Never Say Never,Cole Swindell / Lainey Wilson
68,What Happened To Virgil,Lil Durk Featuring Gunna
69,Yo No Soy Celoso,Bad Bunny
70,Right On,Lil Baby
71,Freaky Deaky,Tyga X Doja Cat
72,Father Time,Kendrick Lamar Featuring Sampha
73,Like I Love Country Music,Kane Brown
74,If I Was A Cowboy,Miranda Lambert
75,Dua Lipa,Jack Harlow
76,Neverita,Bad Bunny
77,Count Me Out,Kendrick Lamar
78,United In Grief,Kendrick Lamar
79,La Corriente,Bad Bunny & Tony Dize
80,Me Or Sum,"Nardo Wick, Lil Baby & Future"
81,Flower Shops,ERNEST Featuring Morgan Wallen
82,I'm On One,Future Featuring Drake
83,Love You Better,Future
84,Pushin P,Gunna & Future Featuring Young Thug
85,Hold My Hand,Lady Gaga
86,Andrea,Bad Bunny & Buscabulla
87,Circles Around This Town,Maren Morris
88,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
89,She Likes It,Russell Dickerson & Jake Scott
90,No Love,Summer Walker & SZA
91,Savior,"Kendrick Lamar, Baby Keem, & Sam Dew"
92,Whiskey On You,Nate Smith
93,Aguacero,Bad Bunny
94,Un Coco,Bad Bunny
95,Otro Atardecer,Bad Bunny & The Marias
96,We Cry Together,Kendrick Lamar & Taylour Paige
97,Dos Mil 16,Bad Bunny
98,DFMU,Ella Mai
99,Hate Our Love,Queen Naija & Big Sean
